เลขรับ	ผลของการสั่งคดี	ฟ้องชาย	ฟ้องหญิง	ฟ้อง	ไม่ฟ้อง	อื่นๆ	วันสั่ง	เหตุผลที่สั่งไม่ฟ้อง	วันเสนอ	คำสั่งของกลาง	เหตุผลที่ไม่ริบของกลาง	วันแจ้งเขตของกลาง	สอบเพิ่มเติม	วันแจ้งเขตอก54	เหตุที่ค้าง	ครั้งที่เตือน	วันที่เตือน	อายุความ	วันแจ้งของกลาง	เลขออกอก46	วันที่สำนวนไป	ทีอยู่สำนวน	เก็บไม่ฟ้อง	เก็บสั่งจับ	ข้อเท็จจริง
"ว.679/2548"	"ฟ้องศาล"	0	0	1	0	0	"04/01/05 00:00:00"											0							
"1337/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/09/05 00:00:00"											0							
"1373/2548"	"ฟ้องศาล"	0	0	1	0	0	"05/13/05 00:00:00"											0							
"1356/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/12/05 00:00:00"											0							
"1286/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/12/05 00:00:00"											0							
"1377/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/12/05 00:00:00"											0							
"1314/2548"	"ฟ้องศาล"	0	1	1	0	0	"05/10/05 00:00:00"											0							
"1380/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/12/05 00:00:00"											0							
"1339/2548"	"ฟ้องศาล"	0	0	1	0	0	"05/12/05 00:00:00"											0							
"1335/2548"	"ฟ้องศาล"	0	0	1	0	0	"05/12/05 00:00:00"											0							
"928/2548"	"ฟ้องศาล"	1	0	0	0	0	"05/08/05 00:00:00"											0							
"1285/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/12/05 00:00:00"											0							
"1313/2548"	"ฟ้องศาล"	1	0	0	0	0	"05/12/05 00:00:00"											0							
"1312/2548"	"ฟ้องศาล"	0	0	1	0	0	"05/12/05 00:00:00"											0							
"1397/2548"	"ฟ้องศาล"	1	0	1	0	0												0							
"1382/2548"	"ฟ้องศาล"	1	0	1	0	0												0							
"1326/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/10/05 00:00:00"											0							
"1439/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/16/05 00:00:00"											0							
"878/2548"	"ฟ้องศาล"	2	0	1	0	0	"05/13/05 00:00:00"											0							
"1359/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/12/05 00:00:00"											0							
"1389/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/13/05 00:00:00"											0							
"1357/2548"	"ฟ้องศาล"		1	1	0	0	"05/16/05 00:00:00"											0							
"1358/2548"	"ฟ้องศาล"	0	0	1	0	0	"05/16/05 00:00:00"											0							
"1340/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/10/05 00:00:00"											0							
