เลขรับ	การอุทธรณ์ของจำเลย	วันรับสำเนาอุทธรณ์	วันครบแก้อุทธรณ์	วันส่งสำเนาอุทธรณ์จำเลย	วันขอขยายแก้อุทธรณ์	วันครบขอขยายแก้อุทธรณ์	วันแก้อุทธรณ์	การแก้อุทธรณ์
"ว.1587/2548"		"07/26/05 00:00:00"	"08/10/05 00:00:00"					
"1737/2548"								
"1750/2548"		"08/10/05 00:00:00"	"08/25/05 00:00:00"	"08/08/05 00:00:00"				
"1273/2548"		"08/10/05 00:00:00"	"08/25/05 00:00:00"	"08/08/05 00:00:00"				
"3450/2546"		"08/15/05 00:00:00"	"08/30/05 00:00:00"	"08/11/05 00:00:00"				
"1770/2548"	"ข้อเท็จจริง"	"08/22/05 00:00:00"	"09/06/05 00:00:00"	"08/19/05 00:00:00"				
"1697/2548"	"ข้อเท็จจริง"	"08/22/05 00:00:00"	"09/06/05 00:00:00"	"08/19/05 00:00:00"				
"1573/2548"	"ข้อเท็จจริง"	"04/27/06 00:00:00"	"05/12/06 00:00:00"					
"1556/2548"	"ข้อเท็จจริง"	"08/22/05 00:00:00"	"09/06/05 00:00:00"	"08/16/05 00:00:00"				
"1305/2547"	"ข้อเท็จจริง"	"08/22/05 00:00:00"	"09/06/05 00:00:00"	"08/16/05 00:00:00"				
"1195/2548"	"ข้อเท็จจริง"	"08/22/05 00:00:00"	"09/06/05 00:00:00"	"08/19/05 00:00:00"				
"ว.1683/2548"	"ข้อเท็จจริง"	"08/22/05 00:00:00"	"09/06/05 00:00:00"	"08/19/05 00:00:00"				
"ว.1556/2548"	"ข้อเท็จจริง"	"08/22/05 00:00:00"	"09/06/05 00:00:00"	"08/18/05 00:00:00"				
"2841/2546"	"ข้อเท็จจริง"	"08/15/05 00:00:00"	"08/30/05 00:00:00"	"08/11/05 00:00:00"				
"514/2547"	"ข้อเท็จจริง"	"08/15/05 00:00:00"	"08/30/05 00:00:00"	"08/01/05 00:00:00"				
"906/2548"	"ข้อเท็จจริง"	"08/25/05 00:00:00"	"09/09/05 00:00:00"	"08/24/05 00:00:00"				
"ว.1673/2548"	"ข้อเท็จจริง"	"08/25/05 00:00:00"	"09/09/05 00:00:00"					
"ว.1813/2548"	"ข้อเท็จจริง"	"08/25/05 00:00:00"	"09/09/05 00:00:00"	"08/24/05 00:00:00"				
"2050/2548"	"ข้อเท็จจริง"	"08/25/05 00:00:00"	"09/09/05 00:00:00"					
"2066/2548"	"ข้อเท็จจริง"	"08/25/05 00:00:00"	"09/09/05 00:00:00"	"08/22/05 00:00:00"				
"2892/2546"	"ข้อเท็จจริง"	"09/01/05 00:00:00"	"09/16/05 00:00:00"	"08/29/05 00:00:00"				
"3483/2546"	"ข้อเท็จจริง"	"09/01/05 00:00:00"	"09/16/05 00:00:00"	"08/29/05 00:00:00"				
"1823/2548"	"ข้อเท็จจริง"	"09/01/05 00:00:00"	"09/16/05 00:00:00"	"08/25/05 00:00:00"				
"ว.1741/2548"	"ข้อเท็จจริง"	"09/01/05 00:00:00"	"09/16/05 00:00:00"	"08/29/05 00:00:00"				
"2015/2548"	"ข้อเท็จจริง"	"09/01/05 00:00:00"	"09/16/05 00:00:00"	"08/29/05 00:00:00"				
"ว.1809/2548"	"ข้อเท็จจริง"	"09/01/05 00:00:00"	"09/16/05 00:00:00"	"08/29/05 00:00:00"				
"1489/2547"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/08/05 00:00:00"				
"2940/2546"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/08/05 00:00:00"				
"3038/2546"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/05/05 00:00:00"				
"3347/2546"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/06/05 00:00:00"				
"3418/2546"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/05/05 00:00:00"				
"1816/2548"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/06/05 00:00:00"				
"1827/2548"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"08/31/05 00:00:00"				
"2075/2548"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/06/05 00:00:00"				
"2172/2548"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/08/05 00:00:00"				
"2211/2548"	"ข้อเท็จจริง"	"07/25/06 00:00:00"	"08/09/06 00:00:00"					
"ว.1881/2548"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/07/05 00:00:00"				
"ว.1923/2548"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/01/05 00:00:00"				
"ว.2019/2548"	"ข้อเท็จจริง"	"09/08/05 00:00:00"	"09/23/05 00:00:00"	"09/08/05 00:00:00"				
"2895/2546"	"ข้อเท็จจริง"	"09/13/05 00:00:00"	"09/28/05 00:00:00"	"09/08/05 00:00:00"				
"1659/2547"	"ข้อเท็จจริง"	"09/13/05 00:00:00"	"09/28/05 00:00:00"	"09/09/05 00:00:00"				
"1947/2547"	"ข้อเท็จจริง"	"09/13/05 00:00:00"	"09/28/05 00:00:00"	"09/13/05 00:00:00"				
"1804/2548"	"ข้อเท็จจริง"	"09/13/05 00:00:00"	"09/28/05 00:00:00"	"09/06/05 00:00:00"				
"2154/2548"	"ข้อเท็จจริง"	"09/13/05 00:00:00"	"09/28/05 00:00:00"	"09/13/05 00:00:00"				
"1534/2546"	"ข้อเท็จจริง"	"09/20/05 00:00:00"	"10/05/05 00:00:00"	"09/19/05 00:00:00"				
"3346/2546"	"ข้อเท็จจริง"	"09/20/05 00:00:00"	"10/05/05 00:00:00"	"09/19/05 00:00:00"				
"ว.1718/2548"	"ข้อเท็จจริง"	"09/20/05 00:00:00"	"10/05/05 00:00:00"	"09/19/05 00:00:00"				
"1397/2548"	"ข้อเท็จจริง"	"09/20/05 00:00:00"	"10/05/05 00:00:00"	"09/07/05 00:00:00"				
"2020/2548"	"ข้อเท็จจริง"	"09/20/05 00:00:00"	"10/05/05 00:00:00"	"09/13/05 00:00:00"				
"2320/2548"	"ข้อเท็จจริง"	"09/20/05 00:00:00"	"10/05/05 00:00:00"	"09/13/05 00:00:00"				
" 2321/2548"	"ข้อเท็จจริง"	"09/20/05 00:00:00"	"10/05/05 00:00:00"	"09/13/05 00:00:00"				
"2385/2548"	"ข้อเท็จจริง"	"09/20/05 00:00:00"	"10/05/05 00:00:00"	"09/15/05 00:00:00"				
"890/2545"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/21/05 00:00:00"				
"2195/2548"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/20/05 00:00:00"				
"584/2548"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/26/05 00:00:00"				
"ว.2087/2548"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/23/05 00:00:00"				
"ว.1506/2548"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/23/05 00:00:00"				
"2564/2548"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/26/05 00:00:00"				
"2918/2546"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/23/05 00:00:00"				
"1619/2548"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/23/05 00:00:00"				
"2392/2548"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/20/05 00:00:00"				
"2710/2547"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/26/05 00:00:00"				
"1772/2548"	"ข้อเท็จจริง"	"09/26/05 00:00:00"	"10/11/05 00:00:00"	"09/20/05 00:00:00"				
"3229/2546"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"712/2548"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"1796/2547"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"2353/2548"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"2428/2548"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"1937/2546"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"418/2547"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"2085/2548"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"2456/2548"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"321/2547"	"ข้อเท็จจจริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"2482/2547"	"ข้อเท็จจรริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"3043/2547"	"ข้อเทศ็จจริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"1359/2548"	"ข้อเท็จจริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"ว.1321/2548"	"ข้อเท็จจริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"1637/2548"	"ข้อเท็จจริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"2220/2548"	"ข้อเท็จจริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"ว.2040/2548"	"ข้อเท็จจริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"2589/2548"	"ข้อเท็จจริง"	"10/06/05 00:00:00"	"10/21/05 00:00:00"					
"2429/2548"	"ข้อเท็จจริง"	"10/04/05 00:00:00"	"10/19/05 00:00:00"					
"1126/2547"	"ข้อเท็จจริง"	"10/12/05 00:00:00"	"10/27/05 00:00:00"	"10/06/05 00:00:00"				
"63/2546"	"ข้อเท็จจริง"	"10/12/05 00:00:00"	"10/27/05 00:00:00"	"10/10/05 00:00:00"				
"1478/2548"	"ข้อเทส็จจริง"	"10/12/05 00:00:00"	"10/27/05 00:00:00"	"10/11/05 00:00:00"				
"1813/2548"	"ข้อเท็จจรริง"	"10/12/05 00:00:00"	"10/27/05 00:00:00"	"10/11/05 00:00:00"				
"1745/2548"	"ข้อเท็จจริง"	"10/12/05 00:00:00"	"10/27/05 00:00:00"	"10/11/05 00:00:00"				
"2007/2548"	"ข้อเท็จจริง"	"10/12/05 00:00:00"	"10/27/05 00:00:00"	"10/11/05 00:00:00"				
"2615/2548"	"ข้อเท็จจริง"	"10/12/05 00:00:00"	"10/27/05 00:00:00"	"10/11/05 00:00:00"				
"2576/2548"	"ข้อเท็จจริง"	"10/12/05 00:00:00"	"10/27/05 00:00:00"	"10/10/05 00:00:00"				
"2609/2548"	"ข้อเท็จจริง"	"10/18/05 00:00:00"	"11/02/05 00:00:00"	"10/17/05 00:00:00"				
"2620/2548"	"ข้อเท็จจริง"	"10/18/05 00:00:00"	"11/02/05 00:00:00"	"10/13/05 00:00:00"				
"2651/2548"	"ข้อเท็จจริง"	"10/18/05 00:00:00"	"11/02/05 00:00:00"	"10/12/05 00:00:00"				
"2118/2548"	"ข้อเท็จจริง"	"10/18/05 00:00:00"	"11/02/05 00:00:00"	"10/17/05 00:00:00"				
"2869/2546"	"ข้อเท็จจริง"	"10/18/05 00:00:00"	"11/02/05 00:00:00"	"10/12/05 00:00:00"				
"2122/2548"	"ข้อเท็จจริง"	"10/18/05 00:00:00"	"11/02/05 00:00:00"	"10/06/05 00:00:00"				
"ว.2297/2548"	"ข้อเท็จจริง"	"10/26/05 00:00:00"	"11/10/05 00:00:00"	"10/18/05 00:00:00"				
"922/2548"	"ข้อเท็จจริง"	"10/26/05 00:00:00"	"11/10/05 00:00:00"	"10/25/05 00:00:00"				
"2342/2548"	"ข้อเท็จจริง"	"10/26/05 00:00:00"	"11/10/05 00:00:00"	"10/19/05 00:00:00"				
"2438/2548"	"ข้อเท็จจริง"	"10/26/05 00:00:00"	"11/10/05 00:00:00"	"10/19/05 00:00:00"				
"2983/2546"	"ข้อเท็จจริง"	"10/28/05 00:00:00"	"11/12/05 00:00:00"	"10/26/05 00:00:00"				
"3403/2546"	"ข้อเท็จจริง"	"10/28/05 00:00:00"	"11/12/05 00:00:00"	"10/27/05 00:00:00"				
"2772/2547"	"ข้อเท็จจริง"	"10/28/05 00:00:00"	"11/12/05 00:00:00"	"10/27/05 00:00:00"				
"336/2547"	"ข้อเท็จจริง"	"10/28/05 00:00:00"	"11/12/05 00:00:00"	"10/27/05 00:00:00"				
"1530/2546"	"ข้อเท็จจริง"	"11/02/05 00:00:00"	"11/17/05 00:00:00"	"11/01/05 00:00:00"				
"3390/2546"	"ข้อเท็จจริง"	"11/02/05 00:00:00"	"11/17/05 00:00:00"	"11/01/05 00:00:00"				
"294/2547"	"ข้อเท็จจริง"	"11/02/05 00:00:00"	"11/17/05 00:00:00"	"10/28/05 00:00:00"				
"ว.2180/2548"	"ข้อเท็จจริง"	"11/02/05 00:00:00"	"11/17/05 00:00:00"	"10/28/05 00:00:00"				
"2722/2548"	"ขิ้อเท็จจริง"	"11/02/05 00:00:00"	"11/17/05 00:00:00"	"10/28/05 00:00:00"				
"1627/2548"	"ข้อเท็จจริง"	"11/02/05 00:00:00"	"11/17/05 00:00:00"	"11/01/05 00:00:00"				
"2167/2547"	"ข้อเท็จจริง"	"11/08/05 00:00:00"	"11/23/05 00:00:00"	"11/04/05 00:00:00"				
"565/2547"	"ข้อเท็จจริง"	"11/08/05 00:00:00"	"11/23/05 00:00:00"	"11/02/05 00:00:00"				
"2724/2548"	"ข้อเท็จจริง"	"11/08/05 00:00:00"	"11/23/05 00:00:00"	"11/03/05 00:00:00"				
"1675/2548"	"ข้อเท็จจริง"	"11/08/05 00:00:00"	"11/23/05 00:00:00"	"11/03/05 00:00:00"				
"13/2547"	"ข้อเท็จจริง"	"11/09/05 00:00:00"	"11/24/05 00:00:00"	"11/08/05 00:00:00"				
"2583/2548"	"ข้อเท็จจริง"	"11/09/05 00:00:00"	"11/24/05 00:00:00"	"11/08/05 00:00:00"				
"2518/2548"	"ข้อเท็จจริง"	"11/09/05 00:00:00"	"11/24/05 00:00:00"	"11/08/05 00:00:00"				
"ว.2233/2548"	"ข้อเท็จจริง"	"11/09/05 00:00:00"	"11/24/05 00:00:00"	"11/08/05 00:00:00"				
"2405/2548"	"ข้อเท็จจริง"	"11/09/05 00:00:00"	"11/24/05 00:00:00"	"11/08/05 00:00:00"				
"2270/2548"	"ข้อเท็จจริง"	"11/09/05 00:00:00"	"11/24/05 00:00:00"	"11/08/05 00:00:00"				
"2413/2548"	"ข้อเท็จจริง"	"11/09/05 00:00:00"	"11/24/05 00:00:00"	"11/08/05 00:00:00"				
"2787/2548"	"ข้อเท็จจริง"	"11/09/05 00:00:00"	"11/24/05 00:00:00"	"11/08/05 00:00:00"				
"3056/2548"	"ข้อเท็จจริง"	"12/08/05 00:00:00"	"12/23/05 00:00:00"	"12/07/05 00:00:00"				
"3031/2546"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/13/05 00:00:00"				
"3304/2546"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/13/05 00:00:00"				
"3399/2546"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/13/05 00:00:00"				
"2929/2548"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/13/05 00:00:00"				
"3200/2548"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/13/05 00:00:00"				
"3199/2548"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/13/05 00:00:00"				
"3125/2548"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/13/05 00:00:00"				
"2884/2548"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/14/05 00:00:00"				
"2897/2548"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/08/05 00:00:00"				
"2911/2548"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/08/05 00:00:00"				
"1433/2548"	"ข้อเท็จจริง"	"12/15/05 00:00:00"	"12/30/05 00:00:00"	"12/13/05 00:00:00"				
"2430/2547"	"ข้อเท็จจริง"	"12/19/05 00:00:00"	"01/03/06 00:00:00"	"12/15/05 00:00:00"				
"498/2548"	"ข้อเท็จจริง"	"12/19/05 00:00:00"	"01/03/06 00:00:00"	"12/15/05 00:00:00"				
"2998/2548"	"ข้อเท็จจริง"	"12/19/05 00:00:00"	"01/03/06 00:00:00"	"12/15/05 00:00:00"				
"486/2547"	"ข้อเท็จจริง"	"12/19/05 00:00:00"	"01/03/06 00:00:00"	"12/19/05 00:00:00"				
"2791/2548"	"ข้อเท็จจริง"	"12/19/05 00:00:00"	"01/03/06 00:00:00"	"12/19/05 00:00:00"				
"1865/2548"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/23/05 00:00:00"				
"ว.2583/2548"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/23/05 00:00:00"				
"2520/2548"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/26/05 00:00:00"				
"352/2547"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/29/05 00:00:00"				
"942/2547"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/29/05 00:00:00"				
"3471/2548"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/29/05 00:00:00"				
"2617/2548"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/29/05 00:00:00"				
"3055/2548"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/29/05 00:00:00"				
"3109/2548"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/29/05 00:00:00"				
"2383/2546"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/30/05 00:00:00"				
"2520/2547"	"ข้อเท็จจริง"	"01/05/06 00:00:00"	"01/20/06 00:00:00"	"12/30/05 00:00:00"				
"2932/2548"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"	"12/29/05 00:00:00"				
"1555/2548"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"	"01/11/06 00:00:00"				
"ว.2771/2548"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"	"01/11/06 00:00:00"				
"ว.7/2549"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"	"01/11/06 00:00:00"				
"ว.37/2549"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"	"01/11/06 00:00:00"				
"ว.53/2549"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"	"01/11/06 00:00:00"				
"ว.68/2549"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"	"01/11/06 00:00:00"				
"577/2547"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"	"01/11/06 00:00:00"				
"163/2548"	"ข้อเท็จจริง"	"01/12/06 00:00:00"	"01/27/06 00:00:00"					
