ฐานความผิด	ประเภทคดี
"ความผิดต่อมาตรา"	1
"ความผิดต่อมาตรา"	2
"ความผิดต่อมาตรา"	3
"ความผิดต่อมาตรา"	4
"ความผิดต่อมาตรา"	5
"ความผิดต่อมาตรา"	6
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
"ความผิดต่อมาตรา"	0
